FULLNAME	DATASET	READY_FOR_GSEA	NORMALIZATION	GENES	ORIGINAL_N	CHIP	PROCESS	X	Y
Alcoholism	GSE44456	quantile normalized (separated motor and frontal cortex)	Partek 6.3 was used to generate the RMA data, using the core probesets only option. This option generated the 'core' probesets as defined by Affymetrix as well-defined. This option generated 28,869 probe sets. Using the CEL files you may generate the rest, but these 28,869 probe sets were all that was used for the analysis.  RMA signals were generated for the core probe sets using the RMA background correction, Quantile normalization and summarization by Median Polish. Summarized signals for each probe set were log2 transformed. These are the standard defaults used in Partek.	28869	39	GPL6244	DONE	6	8
Major Depressive Disorder	GSE12654	quantile normalized (separated motor and frontal cortex)	The data were normalized by median centering by GeneSpring software (Agilent).	12625	50	GPL8300	DONE	6	9
Major Depressive Disorder	GSE54572	OK	Probeset signals (i.e., transcript levels) were extracted with the Affymetrix GCOS software. For statistical analysis, log2- transformed probeset signal intensities were extracted and normalized with the robust multiarray average (GC-RMA) algorithm	54675	24	GPL570	DONE	6	10
Major Depressive Disorder	GSE54571	quantile normalized (separated motor and frontal cortex)	Probeset signals (i.e., transcript levels) were extracted with the Affymetrix GCOS software. For statistical analysis, log2- transformed probeset signal intensities were extracted and normalized with the robust multiarray average (GC-RMA) algorithm	54675	26	GPL570	DONE	7	1
Major Depressive Disorder	GSE54570	OK	Probeset signals (i.e., transcript levels) were extracted with the Affymetrix GCOS software. For statistical analysis, log2- transformed probeset signal intensities were extracted and normalized with the robust multiarray average (GC-RMA) algorithm	22283	26	GPL96	DONE	7	2
Major Depressive Disorder	GSE54575	OK	Probeset signals (i.e., transcript levels) were extracted with the Affymetrix GCOS software. For statistical analysis, log2- transformed probeset signal intensities were extracted and normalized with the robust multiarray average (GC-RMA) algorithm	22283	24	GPL96	DONE	7	3
Major Depressive Disorder	GSE54568	OK	Probeset signals (i.e., transcript levels) were extracted with the Affymetrix GCOS software. For statistical analysis, log2- transformed probeset signal intensities were extracted and normalized with the robust multiarray average (GC-RMA) algorithm	54675	30	GPL570	DONE	7	4
Fragile X	GSE48903	OK	Raw data was corrected for background noise using the normexp method. Quantile normalization was applied to assure comparability across samples.	62976	15	GPL13607	DONE	7	5
Fragile X	GSE48873	OK	Raw data was corrected for background noise using the normexp method. Quantile normalization was applied to assure comparability across samples.	62976	15	GPL13607	DONE	7	6
Fragile X	GSE41273	quantile normalized (separated motor and frontal cortex)	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	485497	62	GPL13534	DONE	7	7
Adrenoleukodystrophy	GSE34309	OK	WebArray software was used to generate log2-transformed gene expression values using the RMA algorithm	22277	18	GPL571	DONE	7	8
Amyotrophic Lateral Sclerosis (ALS)	GSE3307	quantile normalized (separated motor and frontal cortex)	MAS5.0	22283	121	GPL96	DONE	7	9
Amyotrophic Lateral Sclerosis (ALS)	GSE33855	OK	The Partek Genomics Suite was used to normalize (by GC RMA) and then analyse the microarray data following Affymetrix guidelines. Core probesets only were used.	232479	19	GPL5188	DONE	7	10
Amyotrophic Lateral Sclerosis (ALS)	GSE56808	quantile normalized (separated motor and frontal cortex)	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 100	54675	18	GPL570	DONE	8	1
Amyotrophic Lateral Sclerosis (ALS)	GSE28253	OK	Conversion of raw data .txt files to .mev files, data normalization and filtering using the TM4 (MIDAS pipeline) were performed by the PI Jean-Luc Mougeot. Raw data .txt files in Agilent format were converted to .mev files using ExpressConverterTM v2.1 of the TM4 Microarray Suite (TIGR Genomics, Rockville, CA). Background-subtracted raw data were normalized using the MIDAS pipeline (TM4, TIGR Genomics, Rockville, MD) according to Sioson et al. (2006) [PMID: 16626497] with the following steps: total intensity normalization, LocFit (LOWESS), standard deviation regularization and low intensity trim. We generated two datasets for further analysis, DS3500 and DS7000 where both Cy3 and Cy5 integrated intensities (ISI) were above one (ISI=3500) or two (ISI=7000) standard deviation(s) of their respective background.	45015	22	GPL4133	DONE	8	2
Amyotrophic Lateral Sclerosis (ALS)	GSE18920	OK	Data were processed using Partek Genomics Suite version 6.4.  RMA background correction and quantile normalization were performed, and probeset summarization used the median polish method (RMA default setting in Partek).  Core probesets were used for the analysis.  For alternative splicing analysis, probe sets with maximum signal <3 and differential expression p-values > 0.5 were excluded.	228871	44	GPL5188	DONE	8	3
Amyotrophic Lateral Sclerosis (ALS)	GSE4595	quantile normalized (separated motor and frontal cortex)	No normalization	41675	20	GPL1708	DONE	8	4
Rheumatoid Arthritis	GSE12051	OK	Log2 transformation of BeadStudio raw data, gene filtering of Beadchip version2 RefSeq valid probes, quantile normalization using R	17454	44	GPL2507		8	5
Rheumatoid Arthritis	GSE1919							8	6
Rheumatoid Arthritis	GSE1402							8	7
Rheumatoid Arthritis	GSE48006							8	8
Rheumatoid Arthritis	GSE55468							8	9
Rheumatoid Arthritis	GSE48780							8	10
Rheumatoid Arthritis	GSE55457							9	1
Rheumatoid Arthritis	GSE55584							9	2
Rheumatoid Arthritis	GSE55235							9	3
Rheumatoid Arthritis	GSE50646							9	4
Rheumatoid Arthritis	GSE49604							9	5
Rheumatoid Arthritis	GSE42296							9	6
Rheumatoid Arthritis	GSE45536							9	7
Rheumatoid Arthritis	GSE39340							9	8
Rheumatoid Arthritis	GSE39428							9	9
Rheumatoid Arthritis	GSE36700							9	10
Rheumatoid Arthritis	GSE29746							10	1
Rheumatoid Arthritis	GSE27390							10	2
Rheumatoid Arthritis	GSE22956							10	3
Rheumatoid Arthritis	GSE17755							10	4
Rheumatoid Arthritis	GSE22108							10	5
Rheumatoid Arthritis	GSE15258							10	6
Rheumatoid Arthritis	GSE12653							10	7
Rheumatoid Arthritis	GSE15573							10	8
Rheumatoid Arthritis	GSE13026							10	9
Rheumatoid Arthritis	GSE12021							10	10
Rheumatoid Arthritis	GSE9027							11	1
Rheumatoid Arthritis	GSE3698							11	2
Rheumatoid Arthritis	GSE3824							11	3
Rheumatoid Arthritis	GSE1919							11	4
Rheumatoid Arthritis	GSE1402							11	5
Behcet's Disease	GSE17114	OK	Affymetrix CEL files were analyzed together with their respective CDF (chip description file) file (HG-U133_Plus_2.cdf) on the Partek software (Partek Incorporated, USA). The background correction, normalization and summarization of the CEL files were deriveed using the robust multi-chip average (RMA) algorithm (with default settings of the Partek software: only perfect match values, derives quantile normalization across all the chips, and applies a log2 transformation to the intensities). Partek software was used to derive the adjusted data (ie.the expression value after correction for scan date, geographical origin, and immunosuppression status) in CORRECTED column.	54675	29	GPL570	DONE	11	6
Brain Aneurysm	GSE36791	OK	The data were normalised using quantile normalisation with beadarray package in R	47231	61	GPL10558	DONE	11	7
Brain Aneurysm	GSE13353	OK	GeneSpring implementation of RMA algorithm was used for background correction, normalization across arrays, and summarizing probe values	54675	19	GPL570	DONE	11	8
Brain Aneurysm	GSE15629	OK	Data was normalized by dChip 2008 (quantile normalization, PM only)	33252	19	GPL6244	DONE	11	9
Lobar Degeneration	GSE13162	quantile normalized	RMA	22277	56	GPL571	DONE	11	10
Cerebral Palsy	GSE31243	OK	GeneSpring Software (Affymetrix, version 11.5) was used for primary analysis.  Genes were denoted as present if they had a MAS5 present call on 10/40 chips.  The concordance of 3 summarization algorithms were used: MAS5, RMA, and GC-RMA.  Significantly altered genes were determined by a 2x2 ANOVA within GeneSpring on patient group (cerebral palsy or control patients) and muscle (gracilis or semitendinosus) with a False Discovery Rate set at 1%.  This analysis was performed on each of the three summarization algorithms and the overlap of all 3 was used as the significantly different gene set. The RMA and GCRMA in log2 format values are linked to the Series record. 	22277	40	GPL571	DONE	12	1
Craniosynostosis	GSE50796	OK	The data were normalized using quantile normalization in GenomeStudio and then exported in text format followed by upload to Partek Genomics Suite for statistical analysis 	24526	18	GPL6883	DONE	12	2
Craniosynostosis	GSE27976	OK	Affymetrix Expression Console software, RMA normalization log2	333297	249	GPL6244	DONE	12	3
Cytomegalovirus Infection	GSE50938	OK	Feature intensity was extracted by GeneChip Operating System as CEL files. The probe-level analysis of the CEL files was done by the RMA algorithm using GeneSpring GX11 program. No further adjustments were made to the data in the table.	54675	16	GPL570	DONE	12	4
Cytomegalovirus Infection	GSE24434	OK	The Robust Multi-Array Average (RMA) algorithm was used for creation of the summarized probe intensity signals, and data files were generated by the Affymetrix GeneChip Operating 1.4 Software	28869	18	GPL444625	DONE	12	5
Cytomegalovirus Infection	GSE14490	OK	The raw data were normalized and scaled with lowess algorithm	45015	20	GPL4133	DONE	12	6
Dermatomyositis	GSE11971							12	7
Dermatomyositis	GSE48280							12	8
Dermatomyositis	GSE46239							12	9
Dermatomyositis	GSE32245							12	10
Dermatomyositis	GSE11083							13	1
Dermatomyositis	GSE3307							13	2
Dermatomyositis	GSE1551							13	3
Dermatomyositis	GSE493							13	4
Diabetic Neuropathy	GSE24290							13	5
AIDS	GSE30536							13	6
AIDS	GSE28160							13	7
AIDS	GSE30310							13	8
AIDS	GSE6740							13	9
AIDS	GSE3489							13	10
AIDS	GSE511							14	1
AIDS	GSE56848							14	2
AIDS	GSE39941							14	3
AIDS	GSE38556							14	4
AIDS	GSE41952							14	5
AIDS	GSE33580							14	6
AIDS	GSE35864							14	7
AIDS	GSE30536							14	8
AIDS	GSE33514							14	9
AIDS	GSE24064							14	10
AIDS	GSE24411							15	1
AIDS	GSE3489							15	2
AIDS	GSE511							15	3
Brain Tumor	GSE34824							15	4
Brain Tumor	GSE37418							15	5
Brain Tumor	GSE36245							15	6
Brain Tumor	GSE15824							15	7
Brain Tumor	GSE34771							15	8
Brain Tumor	GSE468	metastatic vs non metastatic						15	9
Brain Tumor	GSE49822							15	10
Brain Tumor	GSE50024							16	1
Brain Tumor	GSE50022							16	2
Brain Tumor	GSE50021							16	3
Brain Tumor	GSE38142							16	4
Brain Tumor	GSE52009							16	5
Brain Tumor	GSE50161							16	6
Brain Tumor	GSE31262							16	7
Brain Tumor	GSE42656							16	8
Brain Tumor	GSE44971							16	9
Brain Tumor	GSE44684							16	10
Brain Tumor	GSE39182							17	1
Brain Tumor	GSE35493							17	2
Brain Tumor	GSE36278							17	3
Brain Tumor	GSE25631							17	4
Brain Tumor	GSE37418							17	5
Brain Tumor	GSE31545							17	6
Brain Tumor	GSE34258							17	7
Brain Tumor	GSE34355							17	8
Brain Tumor	GSE31095							17	9
Brain Tumor	GSE15824							17	10
Brain Tumor	GSE26966							18	1
Brain Tumor	GSE25604							18	2
Brain Tumor	GSE16583							18	3
Brain Tumor	GSE22692							18	4
Brain Tumor	GSE22615							18	5
Brain Tumor	GSE19720							18	6
Brain Tumor	GSE20395							18	7
Brain Tumor	GSE16581							18	8
Brain Tumor	GSE19391							18	9
Brain Tumor	GSE14098							18	10
Brain Tumor	GSE20018							19	1
Brain Tumor	GSE14295							19	2
Brain Tumor	GSE14087							19	3
Brain Tumor	GSE18015							19	4
Brain Tumor	GSE11822							19	5
Brain Tumor	GSE10878							19	6
Brain Tumor	GSE2223							19	7
Brain Tumor	GSE468							19	8
Brain Tumor	GSE4290							19	9
Brain Tumor	GSE4271							19	10
Brain Tumor	GSE4058							20	1
Epilepsy	GSE28674							20	2
Epilepsy	GSE7486							20	3
Epilepsy	GSE29796							20	4
Epilepsy	GSE34099							20	5
Epilepsy	GSE20977							20	6
Chron's Disease	GSE20881							20	7
Chron's Disease	GSE17594							20	8
Familial Dysautonomia	GSE17043							20	9
Familial Hemangioma	GSE34989							20	10
Friedreich's Ataxia	GSE30933							21	1
Friedreich's Ataxia	GSE22651							21	2
Friedreich's Ataxia	GSE11204							21	3
Friedreich's Ataxia	GSE5040							21	4
Gaucher Disease	GSE21899							21	5
Guillain-Barré Syndrome	GSE31014							21	6
Hereditary Spastic Paraplegia	GSE3307							21	7
HTLV-1 Associated Myelopathy	GSE34572							21	8
HTLV-1 Associated Myelopathy	GSE29332							21	9
HTLV-1 Associated Myelopathy	GSE29312							21	10
HTLV-1 Associated Myelopathy	GSE19080							22	1
Huntington's Disease	GSE8762							22	2
Huntington's Disease	GSE1767							22	3
Huntington's Disease	GSE1751							22	4
Huntington's Disease	GSE34721							22	5
Huntington's Disease	GSE34201							22	6
Huntington's Disease	GSE37547							22	7
Huntington's Disease	GSE26927							22	8
Huntington's Disease	GSE8762							22	9
Huntington's Disease	GSE1751							22	10
Huntington's Disease	GSE1767							23	1
Hypercortisolism (Cushing's)	GSE30159							23	2
Hypercortisolism (Cushing's)	GSE4060							23	3
Hypercortisolism (Cushing's)	GSE8514							23	4
Leukodystrophy	GSE23350							23	5
Lupus	GSE46907							23	6
Lupus	GSE51997							23	7
Lupus	GSE52471							23	8
Lupus	GSE51100							23	9
Lupus	GSE27293							23	10
Lupus	GSE42648							24	1
Lupus	GSE26768							24	2
