100	"AEukaryotic Type"	"B  Centromeric chromatin formation proteins"	"C    Kinetochore proteins"	"D      KMN network proteins"	"E        NDC80 complex"	"NDC80"
25	"AHuman Diseases"	"B  Infectious diseases"	"C    05161 Hepatitis B [PATH:hsa05161]"	"D      1959 EGR2; early growth response 2	K12496 EGR2; early growth response protein 2"	"0"	"EGR2"
25	"AEukaryotic Type"	"B  Zinc finger"	"C    Cys2His2 developmental/cell cycle regulators, Egr/Krox"	"D      1959 EGR2; early growth response 2	K12496 EGR2; early growth response protein 2 "	"0"	"EGR2"
50	"AOrganismal Systems"	"B  Sensory system"	"C    04740 Olfactory transduction [PATH:hsa04740]"	"D      347168 OR1J1; olfactory receptor, family 1, subfamily J, member 1	K04257 OLFR; olfactory receptor"	"0"	"OR1J1"
100	"AClass A. Rhodopsin family"	"B  Chemoreception"	"C    Olfactory"	"D      347168 OR1J1; olfactory receptor, family 1, subfamily J, member 1	K04257 OLFR; olfactory receptor "	"0"	"OR1J1"
100	"AEukaryotic Type"	"B  beta-Scaffold factors with minor groove contacts"	"C    HMG SOX"	"D      9580 SOX13; SRY (sex determining region Y)-box 13	K09269 SOX5_6_13; transcription factor SOX5/6/13 (SOX group D) "	"0"	"SRY"
100	"AMetabolism"	"B  Carbohydrate metabolism"	"C    00520 Amino sugar and nucleotide sugar metabolism [PATH:hsa00520]"	"D      6675 UAP1; UDP-N-acetylglucosamine pyrophosphorylase 1 	K00972 UAP1; UDP-N-acetylglucosamine pyrophosphorylase [EC:2.7.7.23]"	"0"	"UAP1"
50	"A2. Transferases"	"B  2.7  Transferring phosphorus-containing groups"	"C    2.7.7  Nucleotidyltransferases"	"D      2.7.7.23  UDP-N-acetylglucosamine diphosphorylase"	"E        6675 UAP1; UDP-N-acetylglucosamine pyrophosphorylase 1 	K00972 UAP1; UDP-N-acetylglucosamine pyrophosphorylase [EC:2.7.7.23] "	"UAP1"
50	"AOrganismal Systems"	"B  Sensory system"	"C    04740 Olfactory transduction [PATH:hsa04740]"	"D      196335 OR56B4; olfactory receptor, family 56, subfamily B, member 4	K04257 OLFR; olfactory receptor"	"0"	"OR56B4"
50	"AClass A. Rhodopsin family"	"B  Chemoreception"	"C    Olfactory"	"D      196335 OR56B4; olfactory receptor, family 56, subfamily B, member 4	K04257 OLFR; olfactory receptor "	"0"	"OR56B4"
50	"AOther splicing related proteins"	"B  Spliceosome associated proteins (SAPs)"	"C    RNA binding proteins (RBPs)"	"D      64783 RBM15; RNA binding motif protein 15	K13190 RBM15; RNA-binding protein 15 "	"0"	"SPEN"
50	"AHuman Diseases"	"B  Infectious diseases"	"C    05162 Measles [PATH:hsa05162]"	"D      6504 SLAMF1; signaling lymphocytic activation molecule family member 1	K06536 SLAMF1; signaling lymphocytic activation molecule family member 1"	"0"	"SLAMF1"
100	"AProteins"	"B  6504 SLAMF1; signaling lymphocytic activation molecule family member 1	K06536 SLAMF1; signaling lymphocytic activation molecule family member 1 "	"C    05162 Measles [PATH:hsa05162]"	"D      6504 SLAMF1; signaling lymphocytic activation molecule family member 1	K06536 SLAMF1; signaling lymphocytic activation molecule family member 1"	"0"	"SLAMF1"
100	"AEukaryotic Type"	"B  Zinc finger"	"C    Cys2His2 developmental/cell cycle regulators, Krueppel-like"	"D      55786 ZNF415; zinc finger protein 415	K09228 KRAB; KRAB domain-containing zinc finger protein "	"0"	"ZNF415"
50	"A1. Oxidoreductases"	"B  1.8  Acting on a sulfur group of donors"	"C    1.8.4  With a disulfide as acceptor"	"D      1.8.4.12  peptide-methionine (R)-S-oxide reductase"	"E        51734 MSRB1; methionine sulfoxide reductase B1 	K07305 msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12] "	"EPX"
100	"A5. Isomerases"	"B  5.3  Intramolecular oxidoreductases"	"C    5.3.4  Transposing S-S bonds"	"D      5.3.4.1  protein disulfide-isomerase"	"E        10954 PDIA5; protein disulfide isomerase family A, member 5 	K09583 PDIA5; protein disulfide isomerase family A, member 5 [EC:5.3.4.1] "	"PDIA5"
100	"AEnvironmental Information Processing"	"B  Signal transduction"	"C    04390 Hippo signaling pathway [PATH:hsa04390]"	"D      332 BIRC5; baculoviral IAP repeat containing 5	K08731 BIRC5; baculoviral IAP repeat-containing protein 5"	"0"	"BIRC5"
100	"AHuman Diseases"	"B  Cancers"	"C    05200 Pathways in cancer [PATH:hsa05200]"	"D      332 BIRC5; baculoviral IAP repeat containing 5	K08731 BIRC5; baculoviral IAP repeat-containing protein 5"	"0"	"BIRC5"
100	"AHuman Diseases"	"B  Cancers"	"C    05210 Colorectal cancer [PATH:hsa05210]"	"D      332 BIRC5; baculoviral IAP repeat containing 5	K08731 BIRC5; baculoviral IAP repeat-containing protein 5"	"0"	"BIRC5"
100	"AHuman Diseases"	"B  Infectious diseases"	"C    05161 Hepatitis B [PATH:hsa05161]"	"D      332 BIRC5; baculoviral IAP repeat containing 5	K08731 BIRC5; baculoviral IAP repeat-containing protein 5"	"0"	"BIRC5"
100	"ACellular Processes"	"B  Cell growth and death"	"C    04110 Cell cycle [PATH:hsa04110]"	"D      7272 TTK; TTK protein kinase 	K08866 TTK; serine/threonine-protein kinase TTK/MPS1 [EC:2.7.12.1]"	"0"	"TTK"
100	"A2. Transferases"	"B  2.7  Transferring phosphorus-containing groups"	"C    2.7.12  Dual-specificity kinases (those acting on Ser/Thr and Tyr residues)"	"D      2.7.12.1  dual-specificity kinase"	"E        7272 TTK; TTK protein kinase 	K08866 TTK; serine/threonine-protein kinase TTK/MPS1 [EC:2.7.12.1] "	"TTK"
100	"ASerine/threonine protein kinases: Other group"	"B  TTK family"	"C    7272 TTK; TTK protein kinase 	K08866 TTK; serine/threonine-protein kinase TTK/MPS1 [EC:2.7.12.1] "	"D      2.7.12.1  dual-specificity kinase"	"E        7272 TTK; TTK protein kinase 	K08866 TTK; serine/threonine-protein kinase TTK/MPS1 [EC:2.7.12.1] "	"TTK"
100	"A2. Transferases"	"B  2.3  Acyltransferases"	"C    2.3.1  Transferring groups other than aminoacyl groups"	"D      2.3.1.51  1-acylglycerol-3-phosphate O-acyltransferase"	"E        51099 ABHD5; abhydrolase domain containing 5 	K13699 ABHD5; abhydrolase domain-containing protein 5 [EC:2.3.1.51] "	"ABHD5"
25	"ASerine Peptidases"	"B  Family S33"	"C    51099 ABHD5; abhydrolase domain containing 5 	K13699 ABHD5; abhydrolase domain-containing protein 5 [EC:2.3.1.51] "	"D      2.3.1.51  1-acylglycerol-3-phosphate O-acyltransferase"	"E        51099 ABHD5; abhydrolase domain containing 5 	K13699 ABHD5; abhydrolase domain-containing protein 5 [EC:2.3.1.51] "	"ABHD5"
25	"APhospholipid acyltransferase"	"B  LPAAT/LPLAT"	"C    51099 ABHD5; abhydrolase domain containing 5 	K13699 ABHD5; abhydrolase domain-containing protein 5 [EC:2.3.1.51] "	"D      2.3.1.51  1-acylglycerol-3-phosphate O-acyltransferase"	"E        51099 ABHD5; abhydrolase domain containing 5 	K13699 ABHD5; abhydrolase domain-containing protein 5 [EC:2.3.1.51] "	"ABHD5"
25	"AClass B. Secretin receptor family"	"B  Other"	"C    Putative / unclassified Class B GPCRs"	"D      84873 GPR128; G protein-coupled receptor 128	K08464 GPR128; G protein-coupled receptor 128 "	"0"	"GPR128"
33	"A2. Transferases"	"B  2.7  Transferring phosphorus-containing groups"	"C    2.7.12  Dual-specificity kinases (those acting on Ser/Thr and Tyr residues)"	"D      2.7.12.2  mitogen-activated protein kinase kinase"	"E        55872 PBK; PDZ binding kinase 	K08865 PBK; PDZ-binding kinase [EC:2.7.12.2] "	"PBK"
33	"ASerine/threonine protein kinases: Other group"	"B  TOPK family"	"C    55872 PBK; PDZ binding kinase 	K08865 PBK; PDZ-binding kinase [EC:2.7.12.2] "	"D      2.7.12.2  mitogen-activated protein kinase kinase"	"E        55872 PBK; PDZ binding kinase 	K08865 PBK; PDZ-binding kinase [EC:2.7.12.2] "	"PBK"
33	"AProteins"	"B  54210 TREM1; triggering receptor expressed on myeloid cells 1	K14362 TREM1; triggering receptor expressed on myeloid cells 1 "	"0"	"0"	"0"	"TREM1"
100	"AMetabolism"	"B  Glycan biosynthesis and metabolism"	"C    00533 Glycosaminoglycan biosynthesis - keratan sulfate [PATH:hsa00533]"	"D      10164 CHST4; carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4	K04746 CHST4; carbohydrate 6-sulfotransferase 4 [EC:2.8.2.-]"	"0"	"CHST4"
50	"A2. Transferases"	"B  2.8  Transferring sulfur-containing groups"	"C    2.8.2  Sulfotransferases"	"D      2.8.2.-  "	"E        10164 CHST4; carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4	K04746 CHST4; carbohydrate 6-sulfotransferase 4 [EC:2.8.2.-] "	"CHST4"
50	"AUnclassified"	"B  Sulfotransferases"	"C    10164 CHST4; carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4	K04746 CHST4; carbohydrate 6-sulfotransferase 4 [EC:2.8.2.-] "	"D      2.8.2.-  "	"E        10164 CHST4; carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4	K04746 CHST4; carbohydrate 6-sulfotransferase 4 [EC:2.8.2.-] "	"CHST4"
50	"AGenetic Information Processing"	"B  Folding, sorting and degradation"	"C    04120 Ubiquitin mediated proteolysis [PATH:hsa04120]"	"D      22888 UBOX5; U-box domain containing 5	K10600 UBOX5; U-box domain-containing protein 5"	"0"	"FKBP5"
100	"AOrganismal Systems"	"B  Endocrine system"	"C    04915 Estrogen signaling pathway [PATH:hsa04915]"	"D      2288 FKBP4; FK506 binding protein 4, 59kDa 	K09571 FKBP4_5; FK506-binding protein 4/5 [EC:5.2.1.8]"	"0"	"FKBP5"
100	"A5. Isomerases"	"B  5.2  cis-trans-Isomerases"	"C    5.2.1  cis-trans Isomerases (only sub-subclass identified to date)"	"D      5.2.1.8  peptidylprolyl isomerase"	"E        2288 FKBP4; FK506 binding protein 4, 59kDa 	K09571 FKBP4_5; FK506-binding protein 4/5 [EC:5.2.1.8] "	"FKBP5"
100	"AProtein folding catalysts"	"B  Peptidyl prolyl isomerase"	"C    FKBP"	"D      2288 FKBP4; FK506 binding protein 4, 59kDa 	K09571 FKBP4_5; FK506-binding protein 4/5 [EC:5.2.1.8] "	"E        2288 FKBP4; FK506 binding protein 4, 59kDa 	K09571 FKBP4_5; FK506-binding protein 4/5 [EC:5.2.1.8] "	"FKBP5"
33	"A2. Transferases"	"B  2.7  Transferring phosphorus-containing groups"	"C    2.7.11  Protein-serine/threonine kinases"	"D      2.7.11.1  non-specific serine/threonine protein kinase"	"E        22848 AAK1; AP2 associated kinase 1 	K08853 AAK; AP2-associated kinase [EC:2.7.11.1] "	"AAK1"
33	"ASerine/threonine protein kinases: Other group"	"B  NAK family [OT]"	"C    22848 AAK1; AP2 associated kinase 1 	K08853 AAK; AP2-associated kinase [EC:2.7.11.1] "	"D      2.7.11.1  non-specific serine/threonine protein kinase"	"E        22848 AAK1; AP2 associated kinase 1 	K08853 AAK; AP2-associated kinase [EC:2.7.11.1] "	"AAK1"
33	"A2. Transferases"	"B  2.7  Transferring phosphorus-containing groups"	"C    2.7.11  Protein-serine/threonine kinases"	"D      2.7.11.1  non-specific serine/threonine protein kinase"	"E        4751 NEK2; NIMA-related kinase 2 	K08857 NEK; NIMA (never in mitosis gene a)-related kinase [EC:2.7.11.1] "	"NEK2"
33	"ASerine/threonine protein kinases: Other group"	"B  NEK family"	"C    4751 NEK2; NIMA-related kinase 2 	K08857 NEK; NIMA (never in mitosis gene a)-related kinase [EC:2.7.11.1] "	"D      2.7.11.1  non-specific serine/threonine protein kinase"	"E        4751 NEK2; NIMA-related kinase 2 	K08857 NEK; NIMA (never in mitosis gene a)-related kinase [EC:2.7.11.1] "	"NEK2"
25	"AProtein Ser/ Thr phosphatases"	"B  Phosphoprotein phosphatases (PPPs)"	"C    Protein phosphatase-1"	"D      PP1-interacting proteins (PIPs)"	"E        4751 NEK2; NIMA-related kinase 2 	K08857 NEK; NIMA (never in mitosis gene a)-related kinase [EC:2.7.11.1] "	"NEK2"
50	"A2. Transferases"	"B  2.8  Transferring sulfur-containing groups"	"C    2.8.1  Sulfurtransferases"	"D      2.8.1.9  molybdenum cofactor sulfurtransferase"	"E        55034 MOCOS; molybdenum cofactor sulfurase 	K15631 ABA3; molybdenum cofactor sulfurtransferase [EC:2.8.1.9] "	"MOCOS"
33	"A3. Hydrolases"	"B  3.4  Acting on peptide bonds (peptidases)"	"C    3.4.21  Serine endopeptidases"	"D      3.4.21.-  "	"E        64699 TMPRSS3; transmembrane protease, serine 3 	K09634 TMPRSS3; transmembrane protease, serine 3 [EC:3.4.21.-] "	"TMPRSS3"
100	"ASerine Peptidases"	"B  Family S1: chymotrypsin family"	"C    64699 TMPRSS3; transmembrane protease, serine 3 	K09634 TMPRSS3; transmembrane protease, serine 3 [EC:3.4.21.-] "	"D      3.4.21.-  "	"E        64699 TMPRSS3; transmembrane protease, serine 3 	K09634 TMPRSS3; transmembrane protease, serine 3 [EC:3.4.21.-] "	"TMPRSS3"
100	"AMetabolism"	"B  Glycan biosynthesis and metabolism"	"C    00531 Glycosaminoglycan degradation [PATH:hsa00531]"	"D      60495 HPSE2; heparanase 2 (inactive)	K07965 HPSE2; heparanase 2 [EC:3.2.1.-]"	"0"	"HPSE"
50	"AHuman Diseases"	"B  Cancers"	"C    05205 Proteoglycans in cancer [PATH:hsa05205]"	"D      60495 HPSE2; heparanase 2 (inactive)	K07965 HPSE2; heparanase 2 [EC:3.2.1.-]"	"0"	"HPSE"
25	"AEnzymes	(General comment) Variety"	"B  60495 HPSE2; heparanase 2 (inactive)	K07965 HPSE2; heparanase 2 [EC:3.2.1.-] "	"C    05205 Proteoglycans in cancer [PATH:hsa05205]"	"D      60495 HPSE2; heparanase 2 (inactive)	K07965 HPSE2; heparanase 2 [EC:3.2.1.-]"	"0"	"HPSE"
25	"A3. Hydrolases"	"B  3.2  Glycosylases"	"C    3.2.1  Glycosidases, i.e. enzymes that hydrolyse O- and S-glycosyl compounds"	"D      3.2.1.-  "	"E        60495 HPSE2; heparanase 2 (inactive)	K07965 HPSE2; heparanase 2 [EC:3.2.1.-] "	"HPSE"
100	"AEukaryotic Type"	"B  Helix-turn-helix"	"C    Tryptophan clusters Ets-type"	"D      1999 ELF3; E74-like factor 3 (ets domain transcription factor, epithelial-specific )	K09429 K09429; E74-like factor 3 "	"0"	"ELF3"
100	"AOrganismal Systems"	"B  Immune system"	"C    04620 Toll-like receptor signaling pathway [PATH:hsa04620]"	"D      51284 TLR7; toll-like receptor 7	K05404 TLR7; toll-like receptor 7"	"0"	"TLR7"
33	"AHuman Diseases"	"B  Infectious diseases"	"C    05162 Measles [PATH:hsa05162]"	"D      51284 TLR7; toll-like receptor 7	K05404 TLR7; toll-like receptor 7"	"0"	"TLR7"
100	"AHuman Diseases"	"B  Infectious diseases"	"C    05164 Influenza A [PATH:hsa05164]"	"D      51284 TLR7; toll-like receptor 7	K05404 TLR7; toll-like receptor 7"	"0"	"TLR7"
100	"A5. Isomerases"	"B  5.99  Other isomerases"	"C    5.99.1  Sole sub-subclass for isomerases that do not belong in the other subclasses"	"D      5.99.1.3  DNA topoisomerase (ATP-hydrolysing)"	"E        7153 TOP2A; topoisomerase (DNA) II alpha 170kDa 	K03164 TOP2; DNA topoisomerase II [EC:5.99.1.3] "	"TOP2A"
50	"AHuman Diseases"	"B  Immune diseases"	"C    05321 Inflammatiory bowel disease (IBD) [PATH:hsa05321]"	"D      30009 TBX21; T-box 21	K10166 TBX21; T-box protein 21"	"0"	"TBX21"
50	"AEukaryotic Type"	"B  Other transcription factors"	"C    T-box"	"D      30009 TBX21; T-box 21	K10166 TBX21; T-box protein 21 "	"0"	"TBX21"
50	"AEukaryotic Type"	"B  Helix-turn-helix"	"C    POU domain factors"	"D      5458 POU4F2; POU class 4 homeobox 2	K09366 POU4F; POU domain transcription factor, class 4 "	"0"	"POU4F2"
50	"AMetabolism"	"B  Carbohydrate metabolism"	"C    00010 Glycolysis / Gluconeogenesis [PATH:hsa00010]"	"D      92483 LDHAL6B; lactate dehydrogenase A-like 6B 	K00016 LDH; L-lactate dehydrogenase [EC:1.1.1.27]"	"0"	"LDHAL6B"
100	"AMetabolism"	"B  Carbohydrate metabolism"	"C    00620 Pyruvate metabolism [PATH:hsa00620]"	"D      92483 LDHAL6B; lactate dehydrogenase A-like 6B 	K00016 LDH; L-lactate dehydrogenase [EC:1.1.1.27]"	"0"	"LDHAL6B"
100	"AMetabolism"	"B  Carbohydrate metabolism"	"C    00640 Propanoate metabolism [PATH:hsa00640]"	"D      92483 LDHAL6B; lactate dehydrogenase A-like 6B 	K00016 LDH; L-lactate dehydrogenase [EC:1.1.1.27]"	"0"	"LDHAL6B"
14	"AMetabolism"	"B  Amino acid metabolism"	"C    00270 Cysteine and methionine metabolism [PATH:hsa00270]"	"D      92483 LDHAL6B; lactate dehydrogenase A-like 6B 	K00016 LDH; L-lactate dehydrogenase [EC:1.1.1.27]"	"0"	"LDHAL6B"
14	"A1. Oxidoreductases"	"B  1.1  Acting on the CH-OH group of donors"	"C    1.1.1  With NAD+ or NADP+ as acceptor"	"D      1.1.1.27  L-lactate dehydrogenase"	"E        92483 LDHAL6B; lactate dehydrogenase A-like 6B 	K00016 LDH; L-lactate dehydrogenase [EC:1.1.1.27] "	"LDHAL6B"
14	"AExosomal proteins"	"B  Exosomal proteins of epithelial cells"	"C    92483 LDHAL6B; lactate dehydrogenase A-like 6B 	K00016 LDH; L-lactate dehydrogenase [EC:1.1.1.27] "	"D      1.1.1.27  L-lactate dehydrogenase"	"E        92483 LDHAL6B; lactate dehydrogenase A-like 6B 	K00016 LDH; L-lactate dehydrogenase [EC:1.1.1.27] "	"LDHAL6B"
14	"AExosomal proteins"	"B  Exosomal proteins of breast milk"	"C    92483 LDHAL6B; lactate dehydrogenase A-like 6B 	K00016 LDH; L-lactate dehydrogenase [EC:1.1.1.27] "	"D      1.1.1.27  L-lactate dehydrogenase"	"E        92483 LDHAL6B; lactate dehydrogenase A-like 6B 	K00016 LDH; L-lactate dehydrogenase [EC:1.1.1.27] "	"LDHAL6B"
14	"AEnvironmental Information Processing"	"B  Signaling molecules and interaction"	"C    04060 Cytokine-cytokine receptor interaction [PATH:hsa04060]"	"D      10803 CCR9; chemokine (C-C motif) receptor 9	K04184 CCR9; C-C chemokine receptor type 9"	"0"	"CCR9"
14	"AOrganismal Systems"	"B  Immune system"	"C    04672 Intestinal immune network for IgA production [PATH:hsa04672]"	"D      10803 CCR9; chemokine (C-C motif) receptor 9	K04184 CCR9; C-C chemokine receptor type 9"	"0"	"CCR9"
14	"AOrganismal Systems"	"B  Immune system"	"C    04062 Chemokine signaling pathway [PATH:hsa04062]"	"D      10803 CCR9; chemokine (C-C motif) receptor 9	K04184 CCR9; C-C chemokine receptor type 9"	"0"	"CCR9"
14	"AClass A. Rhodopsin family"	"B  Chemokine"	"C    CC Chemokine"	"D      10803 CCR9; chemokine (C-C motif) receptor 9	K04184 CCR9; C-C chemokine receptor type 9 "	"0"	"CCR9"
14	"AChemokine receptors"	"B  Chemokine"	"C    10803 CCR9; chemokine (C-C motif) receptor 9	K04184 CCR9; C-C chemokine receptor type 9 "	"D      10803 CCR9; chemokine (C-C motif) receptor 9	K04184 CCR9; C-C chemokine receptor type 9 "	"0"	"CCR9"
16	"AProteins"	"B  10803 CCR9; chemokine (C-C motif) receptor 9	K04184 CCR9; C-C chemokine receptor type 9 "	"C    10803 CCR9; chemokine (C-C motif) receptor 9	K04184 CCR9; C-C chemokine receptor type 9 "	"D      10803 CCR9; chemokine (C-C motif) receptor 9	K04184 CCR9; C-C chemokine receptor type 9 "	"0"	"CCR9"
